Sumlev,Region,Division,State,Name,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,Rbirth2011,Rbirth2012,Rdeath2011,Rdeath2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,Rnetmig2011,Rnetmig2012
10,0,0,0,United States,308745538,308747508,309326225,311587816,313914040,578717,2261591,2326224,987836,3977039,3953593,598716,2490976,2513173,389120,1486063,1440420,189597,775528,885804,0,0,0,189597,775528,885804,0,0,0,12.8102724,12.64134698,8.023577615,8.035701176,4.786694782,4.605645806,2.498020495,2.83229855,0,0,2.498020495,2.83229855
20,1,0,0,Northeast Region,55317240,55317245,55376926,55597646,55761091,59681,220720,163445,160353,644224,631961,108678,465661,466970,51675,178563,164991,48282,211281,221546,-38396,-161531,-220968,9886,49750,578,-1880,-7593,-2124,11.61029934,11.35000301,8.392210785,8.38676897,3.218088555,2.963234039,3.807737145,3.978960358,-2.911135355,-3.968579493,0.896601791,0.010380865
20,2,0,0,Midwest Region,66927001,66927489,66972135,67145089,67316297,44646,172954,171208,210660,839312,825776,141184,580842,580718,69476,258470,245058,24794,100624,111790,-49082,-184696,-185118,-24288,-84072,-73328,-542,-1444,-522,12.51609562,12.28272331,8.66170627,8.637691716,3.854389351,3.645031593,1.500538067,1.662782206,-2.754247284,-2.753474518,-1.253709218,-1.090692312
20,3,0,0,South Region,114555744,114557147,114853800,116022230,117257221,296653,1168430,1234991,373379,1503557,1510568,235600,956673,970844,137779,546884,539724,71591,282102,337769,86302,325546,353879,157893,607648,691648,981,13898,3619,13.0247995,12.95071635,8.287330651,8.323442085,4.737468849,4.627274264,2.443753039,2.895831575,2.820093537,3.033949184,5.263846576,5.929780759
20,4,0,0,West Region,71945553,71945627,72123364,72822851,73579431,177737,699487,756580,243444,989946,985288,113254,487800,494641,130190,502146,490647,44930,181521,214699,1176,20681,52207,46106,202202,266906,1441,-4861,-973,13.65949432,13.46000877,6.730772515,6.757285382,6.928721802,6.702723391,2.50466699,2.93300073,0.285361022,0.713199266,2.790028011,3.646199996
40,3,6,1,Alabama,4779736,4779745,4784762,4803689,4822023,5017,18927,18334,14587,61937,60990,12063,48323,48719,2524,13614,12271,1369,4914,6005,1059,331,-133,2428,5245,5872,65,68,191,12.91908359,12.67230933,10.07941742,10.12267976,2.839666178,2.549629576,1.024983076,1.24769991,0.069041392,-0.027634319,1.094024468,1.220065591
40,4,9,2,Alaska,710231,710231,714046,723860,731449,3815,9814,7589,2813,11628,11448,715,3443,3431,2098,8185,8017,540,1230,2701,1182,120,-3135,1722,1350,-434,-5,279,6,16.17351899,15.73274129,4.788908315,4.715149841,11.38461068,11.01759145,1.710821152,3.711926471,0.166909381,-4.308363378,1.877730533,-0.596436908
40,4,8,4,Arizona,6392017,6392015,6410810,6467315,6553255,18795,56505,85940,21618,84984,87297,11041,47480,48137,10577,37504,39160,2341,10156,12293,5718,8085,34456,8059,18241,46749,159,760,31,13.19819461,13.40909039,7.373744237,7.393992736,5.824450376,6.015097649,1.577248241,1.888242988,1.255617569,5.292548637,2.832865809,7.180791624
40,3,7,5,Arkansas,2915918,2915919,2922750,2938582,2949131,6831,15832,10549,9377,38088,37877,6479,28888,29223,2898,9200,8654,745,2641,3241,3180,3756,-1452,3925,6397,1789,8,235,106,12.99636328,12.86645596,9.857145099,9.926774624,3.139218185,2.939681333,0.901160351,1.100936815,1.281619946,-0.493230563,2.182780296,0.607706252
40,4,9,6,California,37253956,37253956,37334410,37683933,38041430,80454,349523,357497,124733,520792,513587,55107,239061,242848,69626,281731,270739,27958,116258,132593,-18061,-41491,-44541,9897,74767,88052,931,-6975,-1294,13.88439092,13.56446452,6.373401236,6.41391445,7.510989679,7.150550074,3.099455289,3.501944256,-1.10615613,-1.176382608,1.993299159,2.325561648
40,4,8,8,Colorado,5029196,5029196,5048472,5116302,5187582,19276,67830,71280,16554,65075,65886,7655,31715,32355,8899,33360,33531,1945,6864,9482,8187,26147,27962,10132,33011,37444,245,1459,305,12.80402299,12.78857565,6.24017809,6.280156104,6.563844902,6.508419544,1.350546505,1.84047103,5.144629876,5.427467934,6.495176381,7.267938964
40,1,1,9,Connecticut,3574097,3574097,3576616,3586717,3590347,2519,10101,3630,9404,37248,36522,6894,29076,29132,2510,8172,7390,3260,14773,15627,-3126,-12094,-19251,134,2679,-3624,-125,-750,-136,10.39962822,10.17742074,8.118008754,8.118082826,2.281619464,2.059337913,4.124616292,4.35470549,-3.376640455,-5.364589197,0.747975838,-1.009883707
